founder_name,first_name,last_name,tjhsst_graduation_year,tjhsst_year_confidence,tjhsst_evidence,tjhsst_source_url,company_name,company_website,founder_role,founding_year,company_status,industry,subindustry,company_description,headquarters,venture_backed,total_funding,latest_known_round,notable_investors,accelerator,acquisition_or_exit,acquirer,exit_year,current_founder_role,founder_linkedin,founder_personal_website,company_linkedin,founder_evidence,founder_source_url,additional_sources,discovery_method,discovered_via,discovery_source_url,confidence_score,notes,universities_attended
Chris Arraya,Chris,Arraya,2022,Confirmed,TJHSST Founders Initiative lists Arraya as Class of 2022.,https://www.tjhsst.network/alumni,Skalara,https://www.skalara.com/,Founder,2022,Active,Artificial Intelligence,Sales intelligence,AI software company founded by a recent TJ alumnus.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJHSST Founders Initiative company profile identifies Arraya as founder.,https://www.tjhsst.network/companies/skalara,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Unknown
Chappy Asel,Chappy,Asel,2017,Confirmed,The official 2025 TJSTAR guide identifies Asel as TJHSST Class of 2017.,https://tjhsst.fcps.edu/sites/default/files/media/inline-files/tjSTAR-Guide-2025.pdf,The AI Collective,https://www.theaicollective.com/,Co-founder,2022,Active,Nonprofit,AI community,Community and events platform for builders and researchers in artificial intelligence.,"San Francisco, CA",No,Unknown,Community sponsorships,Unknown,None,None known,Unknown,Unknown,Unknown,https://www.linkedin.com/in/chappyasel,Unknown,Unknown,Asel’s public posts and official school event biography identify him as co-founder.,https://www.linkedin.com/posts/chappyasel_ive-spent-three-years-building-something-activity-7445130268694319104-udgi,Unknown,Named community-node search,Chappy Asel public activity,https://www.linkedin.com/posts/chappyasel_what-an-absolute-honor-and-thrill-to-return-activity-7333908809943277568-6C1u,5,Unknown,University of Virginia
Chappy Asel,Chappy,Asel,2017,Confirmed,The official 2025 TJSTAR guide identifies Asel as TJHSST Class of 2017.,https://tjhsst.fcps.edu/sites/default/files/media/inline-files/tjSTAR-Guide-2025.pdf,Cofactory,https://www.cofactory.ai/,Co-founder,2025,Active,Artificial Intelligence,AI company-building,AI-native company-building and founder community initiative.,"San Francisco, CA",Unknown,Unknown,Unknown,Unknown,Unknown,None known,Unknown,Unknown,Unknown,https://www.linkedin.com/in/chappyasel,Unknown,Unknown,Official TJSTAR guide identifies Asel as a Cofactory co-founder.,https://tjhsst.fcps.edu/sites/default/files/media/inline-files/tjSTAR-Guide-2025.pdf,Unknown,Named community-node search,Chappy Asel public activity,https://www.linkedin.com/posts/chappyasel_what-an-absolute-honor-and-thrill-to-return-activity-7333908809943277568-6C1u,5,Unknown,University of Virginia
Zarif Azher,Zarif,Azher,,Unknown,TJHSST Founders Initiative identifies Azher as a TJ alumnus; no graduation year was located.,https://www.tjhsst.network/alumni,Nexa Labs,https://www.nexa.ai/,Founder and CEO,2025,Acquired,Developer Tools,AI agent tooling,Y Combinator S25 company building AI agent infrastructure.,"San Francisco, CA",Yes,Unknown,YC S25,Y Combinator,Y Combinator S25,Acquired; terms undisclosed,Unknown,2026,Former founder,Unknown,Unknown,Unknown,Y Combinator’s company profile identifies Azher as founder/CEO.,https://www.ycombinator.com/companies/nexa-labs,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,University of Virginia
Zac Baker,Zac,Baker,,Unknown,TJHSST Founders Initiative identifies Baker as a TJ alumnus; no graduation year was located.,https://www.tjhsst.network/alumni,Terac,https://www.terac.ai/,Co-founder,2025,Active,Artificial Intelligence,Enterprise AI,AI software company backed by Antigravity Capital.,"San Francisco, CA",Yes,Unknown,Pre-seed / seed,Antigravity Capital,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Investor portfolio page identifies both as Terac founders.,https://antigravity.capital/portfolio/terac,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Unknown
Jack Blair,Jack,Blair,2022,Confirmed,TJHSST Founders Initiative lists Blair as Class of 2022.,https://www.tjhsst.network/alumni,Terac,https://www.terac.ai/,Co-founder,2025,Active,Artificial Intelligence,Enterprise AI,AI software company backed by Antigravity Capital.,"San Francisco, CA",Yes,Unknown,Pre-seed / seed,Antigravity Capital,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Investor portfolio page identifies both as Terac founders.,https://antigravity.capital/portfolio/terac,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,University of Virginia
Jack Blair,Jack,Blair,2022,Confirmed,TJHSST Founders Initiative lists Blair as Class of 2022.,https://www.tjhsst.network/alumni,Tailed,Unknown,Co-founder,2022,Acquired,Consumer,Social discovery,Consumer social startup previously co-founded by Jack Blair.,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Acquired; terms undisclosed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Investor biography identifies Blair as a previous Tailed co-founder.,https://antigravity.capital/portfolio/terac,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,University of Virginia
Riya Dev,Riya,Dev,,Unknown,TJHSST Founders Initiative identifies Dev as a TJ alumna; no graduation year was located.,https://www.tjhsst.network/alumni,Dezu,https://dezu.com/,Founder,2024,Closed,Artificial Intelligence,AI software,AI startup backed by Telora that later ceased operating.,Unknown,Yes,Unknown,Pre-seed,Telora,Telora,Closed,Unknown,2025,Former founder,Unknown,Unknown,Unknown,Investor announcement identifies Dev as Dezu founder.,https://www.linkedin.com/posts/eliam_welcome-riya-dev-to-telora-activity-7289961564652994561-wR4o,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,University of Pennsylvania
Nathan Foss,Nathan,Foss,2016,Confirmed,TJHSST Founders Initiative lists Foss as Class of 2016.,https://www.tjhsst.network/alumni,Gather,https://www.gather.town/,Co-founder,2019,Acquired,Enterprise Software,Virtual collaboration,Virtual-office and event-space platform.,"San Francisco, CA",Yes,Unknown,Series B,Sequoia Capital; Index Ventures; YC Continuity,Y Combinator W18,Acquired; terms undisclosed,Unknown,2026,Former founder,Unknown,Unknown,Unknown,Founder interview identifies Foss as a Gather co-founder.,https://yespress.io/gather,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Virginia Tech
Arya Grayeli,Arya,Grayeli,2022,Confirmed,TJHSST Founders Initiative lists Grayeli as Class of 2022.,https://www.tjhsst.network/alumni,Sapien,https://www.sapien.io/,Co-founder,2024,Active,Artificial Intelligence,AI data labeling,Human-data infrastructure and labeling marketplace for AI models.,"San Francisco, CA",Yes,At least $8.7M publicly announced; later 2026 round undisclosed,2026 financing at reported $180M valuation,General Catalyst; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJ founder profile and financing coverage identify Sapien’s co-founders.,https://www.tjhsst.network/companies/sapien,https://fortune.com/2026/09/08/sapien-ai-training-data-startup-funding-valuation/,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,University of Virginia
Ron Nachum,Ron,Nachum,2022,Confirmed,TJHSST Founders Initiative lists Nachum as Class of 2022.,https://www.tjhsst.network/alumni,Sapien,https://www.sapien.io/,Co-founder,2024,Active,Artificial Intelligence,AI data labeling,Human-data infrastructure and labeling marketplace for AI models.,"San Francisco, CA",Yes,At least $8.7M publicly announced; later 2026 round undisclosed,2026 financing at reported $180M valuation,General Catalyst; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJ founder profile and financing coverage identify Sapien’s co-founders.,https://www.tjhsst.network/companies/sapien,https://fortune.com/2026/09/08/sapien-ai-training-data-startup-funding-valuation/,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,University of Virginia
Pranav Ravella,Pranav,Ravella,2022,Confirmed,TJHSST Founders Initiative lists Ravella as Class of 2022.,https://www.tjhsst.network/alumni,Sapien,https://www.sapien.io/,Co-founder,2024,Active,Artificial Intelligence,AI data labeling,Human-data infrastructure and labeling marketplace for AI models.,"San Francisco, CA",Yes,At least $8.7M publicly announced; later 2026 round undisclosed,2026 financing at reported $180M valuation,General Catalyst; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJ founder profile and financing coverage identify Sapien’s co-founders.,https://www.tjhsst.network/companies/sapien,https://fortune.com/2026/09/08/sapien-ai-training-data-startup-funding-valuation/,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,University of Virginia
Lydia Hylton,Lydia,Hylton,2012,Confirmed,TJHSST Founders Initiative lists Hylton as Class of 2012.,https://www.tjhsst.network/alumni,Strella,https://www.strellabiotech.com/,Co-founder,2017,Active,Agriculture,Produce supply-chain sensors,Shelf-life and freshness monitoring for the produce supply chain.,"Philadelphia, PA",Yes,At least $14M publicly announced,Series A ($14M),Bessemer Venture Partners; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bessemer’s founder profile identifies both founders.,https://www.bvp.com/news/meet-the-founders-of-strella-lydia-hylton-and-priya-krishnan,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,University of Pennsylvania
Priya Krishnan,Priya,Krishnan,2012,Confirmed,TJHSST Founders Initiative lists Krishnan as Class of 2012.,https://www.tjhsst.network/alumni,Strella,https://www.strellabiotech.com/,Co-founder,2017,Active,Agriculture,Produce supply-chain sensors,Shelf-life and freshness monitoring for the produce supply chain.,"Philadelphia, PA",Yes,At least $14M publicly announced,Series A ($14M),Bessemer Venture Partners; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bessemer’s founder profile identifies both founders.,https://www.bvp.com/news/meet-the-founders-of-strella-lydia-hylton-and-priya-krishnan,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,University of Pennsylvania
Howard Lerman,Howard,Lerman,1998,Confirmed,Multiple sources identify Lerman as a 1998 TJHSST graduate.,https://www.yext.com/blog/yext-unveils-major-washington-d-c-area-expansion-to-bring-500-jobs-to-the-region,Roam,https://ro.am/,Co-founder and CEO,2022,Active,Enterprise Software,Cloud communications,Cloud-based phone and communications system for distributed teams.,"New York, NY",Yes,At least $40M publicly announced,Venture round,Founders Fund; others,Unknown,None known,Unknown,Unknown,Unknown,https://www.linkedin.com/in/howardlerman,Unknown,Unknown,Lerman’s launch post and TJ community coverage identify the Roam founding team.,https://www.linkedin.com/posts/howardlerman_im-jumping-back-in-the-arena-in-life-activity-6959932946824769536-i9uc,https://www.tjhsst.network/news/roam-raise-1,Named community-node search,Howard Lerman public activity,https://www.linkedin.com/posts/howardlerman_im-jumping-back-in-the-arena-in-life-activity-6959932946824769536-i9uc,5,Unknown,Virginia Tech
Tom Dixon,Tom,Dixon,1998,Confirmed,TJHSST systems-lab history places Dixon on the 1997–98 team and Yext identifies him as a TJ alumnus.,https://activities.tjhsst.edu/sct/about,Roam,https://ro.am/,Co-founder,2022,Active,Enterprise Software,Cloud communications,Cloud-based phone and communications system for distributed teams.,"New York, NY",Yes,At least $40M publicly announced,Venture round,Founders Fund; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lerman’s launch post and TJ community coverage identify the Roam founding team.,https://www.linkedin.com/posts/howardlerman_im-jumping-back-in-the-arena-in-life-activity-6959932946824769536-i9uc,https://www.tjhsst.network/news/roam-raise-1,Recursive founder-network expansion,Howard Lerman network expansion,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,5,Unknown,Virginia Tech
Sean MacIsaac,Sean,MacIsaac,1998,Confirmed,TJHSST systems-lab history places MacIsaac on the 1997–98 team and Yext identifies him as a TJ alumnus.,https://activities.tjhsst.edu/sct/about,Roam,https://ro.am/,Co-founder,2022,Active,Enterprise Software,Cloud communications,Cloud-based phone and communications system for distributed teams.,"New York, NY",Yes,At least $40M publicly announced,Venture round,Founders Fund; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lerman’s launch post and TJ community coverage identify the Roam founding team.,https://www.linkedin.com/posts/howardlerman_im-jumping-back-in-the-arena-in-life-activity-6959932946824769536-i9uc,https://www.tjhsst.network/news/roam-raise-1,Recursive founder-network expansion,Howard Lerman network expansion,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,5,Unknown,Virginia Tech
Kevin Caffrey,Kevin,Caffrey,2002,Confirmed,Yext identifies Caffrey as a 2002 TJHSST graduate.,https://www.yext.com/blog/yext-unveils-major-washington-d-c-area-expansion-to-bring-500-jobs-to-the-region,Roam,https://ro.am/,Co-founder,2022,Active,Enterprise Software,Cloud communications,Cloud-based phone and communications system for distributed teams.,"New York, NY",Yes,At least $40M publicly announced,Venture round,Founders Fund; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lerman’s launch post and TJ community coverage identify the Roam founding team.,https://www.linkedin.com/posts/howardlerman_im-jumping-back-in-the-arena-in-life-activity-6959932946824769536-i9uc,https://www.tjhsst.network/news/roam-raise-1,Recursive founder-network expansion,Howard Lerman network expansion,https://www.linkedin.com/posts/tjpartnershipfund_tjhsst-invention-alert-seven-tjhsst-alums-activity-7245465170574028800-9ir2,5,Unknown,Virginia Tech
Howard Lerman,Howard,Lerman,1998,Confirmed,Multiple sources identify Lerman as a 1998 TJHSST graduate.,https://www.yext.com/blog/yext-unveils-major-washington-d-c-area-expansion-to-bring-500-jobs-to-the-region,JustATip,Unknown,Co-founder,1999,Closed,Consumer,Internet tipping service,Early web service founded by TJ classmates while in college.,"Blacksburg, VA",Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,https://www.linkedin.com/in/howardlerman,Unknown,Unknown,Founder interview identifies the three TJ classmates as founders.,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,Unknown,Named community-node search,Howard Lerman public activity,https://www.linkedin.com/posts/howardlerman_im-jumping-back-in-the-arena-in-life-activity-6959932946824769536-i9uc,4,Unknown,Virginia Tech
Tom Dixon,Tom,Dixon,1998,Confirmed,TJHSST systems-lab history places Dixon on the 1997–98 team and Yext identifies him as a TJ alumnus.,https://activities.tjhsst.edu/sct/about,JustATip,Unknown,Co-founder,1999,Closed,Consumer,Internet tipping service,Early web service founded by TJ classmates while in college.,"Blacksburg, VA",Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Founder interview identifies the three TJ classmates as founders.,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,Unknown,Recursive founder-network expansion,Howard Lerman network expansion,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,4,Unknown,Virginia Tech
Sean MacIsaac,Sean,MacIsaac,1998,Confirmed,TJHSST systems-lab history places MacIsaac on the 1997–98 team and Yext identifies him as a TJ alumnus.,https://activities.tjhsst.edu/sct/about,JustATip,Unknown,Co-founder,1999,Closed,Consumer,Internet tipping service,Early web service founded by TJ classmates while in college.,"Blacksburg, VA",Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Founder interview identifies the three TJ classmates as founders.,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,Unknown,Recursive founder-network expansion,Howard Lerman network expansion,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,4,Unknown,Virginia Tech
Howard Lerman,Howard,Lerman,1998,Confirmed,Multiple sources identify Lerman as a 1998 TJHSST graduate.,https://www.yext.com/blog/yext-unveils-major-washington-d-c-area-expansion-to-bring-500-jobs-to-the-region,Intwine,Unknown,Co-founder,2001,Closed,Enterprise Software,Web services,Early software venture created by the JustATip founding team.,Virginia,Unknown,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,https://www.linkedin.com/in/howardlerman,Unknown,Unknown,Founder interview identifies the team’s second venture.,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,Unknown,Named community-node search,Howard Lerman public activity,https://www.linkedin.com/posts/howardlerman_im-jumping-back-in-the-arena-in-life-activity-6959932946824769536-i9uc,4,Unknown,Virginia Tech
Tom Dixon,Tom,Dixon,1998,Confirmed,TJHSST systems-lab history places Dixon on the 1997–98 team and Yext identifies him as a TJ alumnus.,https://activities.tjhsst.edu/sct/about,Intwine,Unknown,Co-founder,2001,Closed,Enterprise Software,Web services,Early software venture created by the JustATip founding team.,Virginia,Unknown,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Founder interview identifies the team’s second venture.,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,Unknown,Recursive founder-network expansion,Howard Lerman network expansion,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,4,Unknown,Virginia Tech
Sean MacIsaac,Sean,MacIsaac,1998,Confirmed,TJHSST systems-lab history places MacIsaac on the 1997–98 team and Yext identifies him as a TJ alumnus.,https://activities.tjhsst.edu/sct/about,Intwine,Unknown,Co-founder,2001,Closed,Enterprise Software,Web services,Early software venture created by the JustATip founding team.,Virginia,Unknown,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Founder interview identifies the team’s second venture.,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,Unknown,Recursive founder-network expansion,Howard Lerman network expansion,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,4,Unknown,Virginia Tech
Howard Lerman,Howard,Lerman,1998,Confirmed,Multiple sources identify Lerman as a 1998 TJHSST graduate.,https://www.yext.com/blog/yext-unveils-major-washington-d-c-area-expansion-to-bring-500-jobs-to-the-region,Yext,https://www.yext.com/,Co-founder,2006,Public,Enterprise Software,Digital presence and search,"Enterprise platform for managing digital knowledge, listings and search experiences.","New York, NY",Yes,Unknown,IPO (2017),Sutter Hill Ventures; Insight Partners; others,None,Initial public offering,NYSE: YEXT,2017,Unknown,https://www.linkedin.com/in/howardlerman,Unknown,Unknown,Public-company filings and founder interviews identify the co-founders.,https://investors.yext.com/sec-filings/all-sec-filings/content/0001614178-21-000095/yext-20210709.htm,Unknown,Named community-node search,Howard Lerman public activity,https://www.linkedin.com/posts/howardlerman_im-jumping-back-in-the-arena-in-life-activity-6959932946824769536-i9uc,5,Unknown,Virginia Tech
